Name,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,Senses,Languages,Additional
Aarakocra,12,13,"20, 50 fly",10,14,10,11,12,11,None,Perception,Normal,Auran,Dive Attack
Aboleth,17,135,"10, swim 40",21,9,15,18,15,18,"CON, INT, WIS","History, Perception",Darkvision 120,"Deep Speech, Telepathy 120","Amphibious,  Mucous Cloud, Probing Telepathy, Legendary, Lair"
Albino Dwarf Warrior,13,30,25,13,13,17,12,14,11,None,"Perception, Stealth, Survival",Darkvision 60,"Common, Dwarvish",Dwarven Resilience
Aldani,14,49,"20, swim 30",13,8,12,10,14,10,None,"Perception, Survival",Darkvision 60,Common,Amphibious
Allip,13,40,fly 40,6,17,10,17,15,16,"INT, WIS","Perception, Stealth",Darkvision 60,Any,Incorporeal Movement
Almiraj,13,3,50,2,16,10,2,14,10,None,"Perception, Stealth","Darkvision 30, tremorsense 60",None,"Keen Hearing, Keen Sight"
Ambush Drake,13,22,30,13,15,14,4,11,6,None,"Perception, Stealth",Darkvision 60,Draconic,"Pack Tactics, Surprise Attack"
Deva,17,136,"30, 90 fly",18,18,18,17,20,20,"WIS, CHA","Insight, Perception",Darkvision 120,"All, Telepathy 120","Angelic Weapons, Innate Spellcasting, Magic Resistance"
Planetar,19,200,"40, 120 fly",24,20,24,19,22,25,"CON, WIS, CHA",Perception,Truesight 120,"All, telepathy 120","Angelic Weapons, Divine Awareness, Innate Spellcasting, Magic Resistance"
Solar,21,243,"50, 150 fly",26,22,26,25,25,30,"INT, WIS, CHA",Perception,Truesight 120,"All, telepathy 120","Angelic Weapons, Divine Awareness, Innate Spellcasting, Magic Resistance, Legendary"
Armor,18,33,25,14,11,13,1,3,1,None,None,Blindsight 60,None,"Antimagic, False"
Broom of Attack,15,17,50 fly,10,17,10,1,5,1,None,None,Blindsight 30,None,"False, None"
Flying Sword,17,17,50 fly,12,15,11,1,5,1,DEX,None,Blindsight 60,None,"Antimagic, False"
Rug of Smothering,12,33,10,17,14,10,1,3,1,None,None,Blindsight 60,None,"Antimagic, Damage Transfer, False"
Table,15,39,40,18,8,13,1,3,1,None,None,Blindsight 60,None,"Antimagic Susceptibility, False Appearance, Charge"
Ankheg,14,39,"30, 10 burrow",17,11,13,1,13,6,None,None,"Darkvision 60, tremorsense 60",None,None
Assassin Vine,13,85,"5, climb 5",18,10,16,1,10,1,None,None,Blindsight 30,None,False Appearance
Aurochs,11,38,50,20,10,19,2,12,5,None,None,Normal,None,Charge
Cattle,10,15,30,18,10,14,2,10,4,None,None,Normal,None,Charge
Dolphin,12,11,swim 60,14,13,13,6,12,7,None,Perception,Blindsight 60,None,"Charge, Hold Breath"
Swarm of Rot Grubs,8,22,"5, climb 5",2,7,10,1,2,1,None,None,Blindsight 10,None,Swarm
Astral Dreadnought,20,297,"15, fly 80",28,7,25,5,14,18,"DEX, WIS",Perception,Darkvision 120,None,"Antimagic Cone, Astral Entity, Demiplanar Donjon, Legendary, Magic Weapons, Sever Silver Cord"
Atropal,7,225,fly 50,19,5,22,25,19,24,"CON, WIS",None,"Darkvision 120, truesight 120",Celestial,"Magic Resistance, Negative Energy Aura, Turn Resistance Aura, Legendary"
Avatar of Death,20,VARIES,"60, fly 60",16,16,16,16,16,16,None,None,"Darkvision 60, truesight 60",Creator,"Incorporeal Movement, Turning Immunity"
Awakened Zurkhwood,13,59,20,19,6,15,10,10,7,None,None,Normal,Any,False Appearance
Azer,17,39,30,17,12,15,12,13,10,CON,None,Normal,Ignan,"Heated Body, Heated Weapons, Illumination"
Baba Lysaga's Creeping Hut,16,263,30,26,7,20,1,3,3,"CON, WIS, CHA",None,Blindsight 120,None,"False, Siege"
Balhannoth,17,114,"25, climb 25",17,8,18,6,15,8,CON,Perception,Blindsight 500,"Deep Speech, telepathy 1 mile","Legendary, Lair"
Banderhobb,15,84,30,20,12,20,11,14,8,None,"Athletics, Stealth",Darkvision 120,"Common, Any","Resonant Connection, Shadow Stealth"
Banshee,12,58,40 fly,1,14,10,12,11,17,"WIS, CHA",None,Darkvision 60,"Common, Elvish","Detect Life, Incorporeal Movement"
Barghest,17,90,60,19,15,14,13,12,14,None,"Deception, Intimidation, Perception, Stealth","Blindsight 60, darkvision 60","Abyssal, Common, Goblin, Infernal, telepathy 60","Shapechanger, Fire Banishment, Keen Smell, Innate Spellcasting"
Basilisk,15,52,30,16,8,15,2,8,7,"STR, CON, WIS, CHA","Deception, Insight, Perception",Darkvision 120,"Infernal, telepathy 120","Barbed Hide, Devil's Sight, Magic Resistance"
Behir,17,168,"50, climb 40",23,16,18,7,16,12,None,"Perception, Stealth",Darkvision 90,Draconic,None
